'河南省促进高新技术产业发展条例',河南省人民代表大会常务委员会,2011-06-13,现行有效,地方性法规及文件
'河南省人民政府办公厅转发《河南省创建新型工业化产业示范基地实施意见》的通知',河南省人民政府办公厅,2009-12-17,现行有效,地方政府规章及文件
'关于转发《国家发展改革委办公厅关于进一步做好2009年关键产业领域自主创新及高技术产业化专项有关工作的通知》的通知',河南省发展和改革委员会,2009-12-16,现行有效,地方政府规章及文件
'桐柏县人民政府办公室关于印发桐柏县产业集聚区标准化厂房管理办法(试行)的通知',南阳市桐柏县人民政府办公室,2009-12-15,现行有效,地方政府规章及文件
'郑州市建设委员会转发河南省住房和城乡建设厅《关于开展太阳能屋顶计划及建筑应用光伏产业情况调查的通知》',郑州市建设委员会,2009-12-08,现行有效,地方政府规章及文件
'洛阳市人民政府关于加快牡丹产业发展的意见',洛阳市人民政府,2009-12-06,已失效,地方政府规章及文件
'关于开展2009年度河南省高新技术产业统计调查工作的通知',河南省科学技术厅,2009-12-03,现行有效,地方政府规章及文件
'新密市人民政府关于进一步加快房地产业健康发展的若干意见',新密市人民政府,2009-11-30,已失效,地方政府规章及文件
'林州市人民政府关于加快产业集聚区科学发展的意见',林州市人民政府,2009-11-23,现行有效,地方政府规章及文件
'漯河市人民政府关于贯彻落实省政府加快产业集聚区科学发展若干政策的实施意见',漯河市人民政府,2009-11-11,现行有效,地方政府规章及文件
'桐柏县人民政府关于培育蔬菜产业的意见',南阳市桐柏县人民政府,2009-11-06,现行有效,地方政府规章及文件
'河南省人民政府关于加快电动汽车产业发展的意见',河南省人民政府,2009-11-02,已失效,地方政府规章及文件
'淅川县人民政府关于印发《淅川县加快产业集聚区发展优惠政策(试行)》的通知',南阳市淅川县人民政府,2009-11-02,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发支持电子信息产业加快发展优惠政策的通知',鹤壁市人民政府办公室,2009-10-28,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发电子信息产业用工培训实施方案的通知',鹤壁市人民政府办公室,2009-10-28,现行有效,地方政府规章及文件
'许昌市人民政府关于印发许昌市发制品产业调整振兴规划的通知',许昌市人民政府,2009-10-23,现行有效,地方政府规章及文件
'鹤壁市人民政府关于加快产业集聚区科学发展若干政策(试行)的通知',鹤壁市人民政府,2009-10-23,现行有效,地方政府规章及文件
'新乡市人民政府关于印发新乡市加快产业集聚区科学发展若干政策的通知',新乡市人民政府,2009-10-21,现行有效,地方政府规章及文件
'焦作市人民政府关于加强金融生态环境建设促进金融产业做强做大的意见',焦作市人民政府,2009-09-27,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发商丘市项目(企业)异地落户产业集聚区利益分配实施办法的通知',商丘市人民政府办公室,2009-09-24,现行有效,地方政府规章及文件
'商丘市人民政府印发关于加快产业集聚区科学发展若干政策措施的通知',商丘市人民政府,2009-09-24,现行有效,地方政府规章及文件
'安阳市人民政府批转市发展改革委《关于参照高新区优惠政策支持安阳市纺织产业集聚区试点发展的意见》的通知',安阳市人民政府,2009-09-21,现行有效,地方政府规章及文件
'商城县人民政府转发《河南省人民政府印发关于加快产业集聚区科学发展若干政策(试行)的通知》的通知',信阳市商城县人民政府,2009-09-21,现行有效,地方政府规章及文件
'关于转发《国家发展改革委办公厅、工业和信息化部办公厅关于进一步做好电子信息产业振兴和技术改造项目组织工作的通知》的通知',河南省发展和改革委员会,2009-09-16,现行有效,地方政府规章及文件
'关于转发《财政部、国家税务总局关于扶持动漫产业发展有关税收政策问题的通知》的通知',河南省财政厅;河南省国家税务局;河南省地方税务局,2009-09-14,现行有效,地方政府规章及文件
'平顶山市人民政府关于印发平顶山市产业集聚区发展考核方案的通知',平顶山市人民政府,2009-09-10,现行有效,地方政府规章及文件
'河南省人民政府关于印发河南省汽车产业调整振兴规划的通知',河南省人民政府,2009-09-05,已失效,地方政府规章及文件
'河南省人民政府关于印发河南省有色金属产业调整振兴规划的通知',河南省人民政府,2009-09-05,已失效,地方政府规章及文件
'河南省人民政府关于印发河南省钢铁产业调整振兴规划的通知',河南省人民政府,2009-09-05,已失效,地方政府规章及文件
'河南省人民政府关于印发河南省生物产业调整振兴规划的通知',河南省人民政府,2009-09-05,现行有效,地方政府规章及文件
'河南省人民政府关于印发河南省电子信息产业调整振兴规划的通知',河南省人民政府,2009-09-05,已失效,地方政府规章及文件
'河南省人民政府关于印发河南省化工产业调整振兴规划的通知',河南省人民政府,2009-09-05,已失效,地方政府规章及文件
'河南省人民政府关于积极承接产业转移加快开放型经济发展的指导意见',河南省人民政府,2009-09-05,已失效,地方政府规章及文件
'林州市人民政府关于推进林州市银行卡产业发展的指导意见',林州市人民政府,2009-09-05,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于转发《许昌市组团参加河南省承接台资企业产业转移洽谈会工作方案》的通知',许昌市人民政府办公室,2009-09-01,现行有效,地方政府规章及文件
'许昌市人民政府办公室转发市财政局《关于促进我市产业集聚区发展有关财税政策意见》的通知',许昌市人民政府办公室,2009-08-28,现行有效,地方政府规章及文件
'济源市人民政府办公室关于做好2010年度烟草产业工作的通知',济源市人民政府办公室,2009-08-26,现行有效,地方政府规章及文件
'商水县人民政府转发《周口市国家税务局、周口市地方税务局关于加强第三产业税收管理的意见》',周口市商水县人民政府,2009-08-21,现行有效,地方政府规章及文件
'河南省人民政府关于编制现代产业体系规划的通知',河南省人民政府,2009-08-19,现行有效,地方政府规章及文件
'郑州市人民政府关于进一步推进产业集聚区科学发展的实施意见',郑州市人民政府,2009-08-13,现行有效,地方政府规章及文件
'郑州市人民政府关于进一步加快纺织服装产业发展的意见',郑州市人民政府,2009-08-13,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于印发许昌市花卉苗木产业发展振兴规划实施意见的通知',许昌市人民政府办公室,2009-08-12,现行有效,地方政府规章及文件
'河南省人民政府印发关于加快产业集聚区科学发展若干政策(试行)的通知',河南省人民政府,2009-08-07,现行有效,地方政府规章及文件
'关于印发西工区促进服务外包产业示范园建设意见（试行）的通知',洛阳市西工区人民政府,2009-08-07,现行有效,地方政府规章及文件
'关于转发国家发展改革委《煤炭产业升级改造项目2009年中央预算内投资计划的通知》',河南省发展和改革委员会,2009-08-06,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于转发《许昌市参加河南省承接纺织服装玩具产业转移洽谈会工作方案》的通知',许昌市人民政府办公室,2009-08-04,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省承接台资企业产业转移洽谈会工作方案》的通知',河南省人民政府办公厅,2009-08-03,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发鹤壁市产业集聚区工作考核办法(试行)的通知',鹤壁市人民政府办公室,2009-07-31,现行有效,地方政府规章及文件
'平顶山市人民政府关于印发平顶山市组团参加河南省承接纺织服装玩具产业转移洽谈会实施方案的通知',平顶山市人民政府,2009-07-23,已失效,地方政府规章及文件
'周口市人民政府办公室转发《周口市国家税务局、周口市地方税务局关于加强第三产业税收管理意见》的通知',周口市人民政府办公室,2009-07-20,现行有效,地方政府规章及文件
'郑州市惠济区人民政府关于发挥科技支撑作用促进主导产业发展的意见',郑州市惠济区人民政府,2009-07-10,现行有效,地方政府规章及文件
'河南省人民政府关于批转《河南省承接纺织服装玩具产业转移洽谈会筹备方案》的通知',河南省人民政府,2009-07-07,现行有效,地方政府规章及文件
'南阳市人民政府关于印发推进产业集聚区科学发展指导意见的通知',南阳市人民政府,2009-07-04,现行有效,地方政府规章及文件
'洛阳市人民政府关于加快我市创意产业发展的意见',洛阳市人民政府,2009-07-03,已失效,地方政府规章及文件
'安阳市人民政府关于加快推进安阳市银行卡产业发展的指导意见',安阳市人民政府,2009-07-03,现行有效,地方政府规章及文件
'安阳市人民政府关于印发安阳市鼓励发展光伏产业若干规定的通知',安阳市人民政府,2009-06-19,现行有效,地方政府规章及文件
'河南省住房和城乡建设厅关于印发《河南省产业集聚区空间发展规划和控制性详细规划编制审批暂行办法》的通知',河南省住房和城乡建设厅,2009-06-02,现行有效,地方政府规章及文件
'郑州市金水区人民政府关于印发金水区杨金产业园区建设发展意见的通知',郑州市金水区人民政府,2009-05-13,现行有效,地方政府规章及文件
'驻马店市人民政府关于印发加快房地产业发展补充意见的通知',驻马店市人民政府,2009-05-10,现行有效,地方政府规章及文件
'鹤壁市人民政府关于加快产业集聚区发展的意见',鹤壁市人民政府,2009-04-29,现行有效,地方政府规章及文件
'区政府关于发挥科技支撑作用促进主导产业发展的意见',郑州市上街区人民政府,2009-04-28,已失效,地方政府规章及文件
'郑州市人民政府关于进一步加快房地产业健康发展的若干意见',郑州市人民政府,2009-04-21,已失效,地方政府规章及文件
'关于转发《商务部关于贸易救济涉案产业规范工作的指导意见》的通知',河南省商务厅,2009-04-21,现行有效,地方政府规章及文件
'上蔡县人民政府办公室转发《驻马店市促进房地产业平稳发展若干意见实施办法》的通知',驻马店市上蔡县人民政府办公室,2009-04-17,现行有效,地方政府规章及文件
'上蔡县人民政府办公室转发《驻马店市关于促进房地产业平稳健康发展若干意见》的通知',驻马店市上蔡县人民政府办公室,2009-04-17,现行有效,地方政府规章及文件
'郑州市人民政府关于发挥科技支撑作用促进主导产业发展的意见',郑州市人民政府,2009-04-11,现行有效,地方政府规章及文件
'洛阳市人民政府关于文化产业发展和文化体制改革的若干扶持意见',洛阳市人民政府,2009-04-08,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发《2009年产业集聚区建设工作实施意见》的通知',新乡市人民政府办公室,2009-03-31,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于加强二三产业经济运行监测分析工作的通知',许昌市人民政府办公室,2009-03-14,现行有效,地方政府规章及文件
'郑州市人民政府执行《郑州市人民政府关于促进房地产业持续稳定健康发展的若干意见》有关问题的通知',郑州市人民政府,2009-02-27,已失效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市促进房地产业平稳发展若干意见实施办法的通知',驻马店市人民政府办公室,2009-02-17,现行有效,地方政府规章及文件
'郑州市物价局关于郑州纺织产业园晨博供热有限公司热力销售价格的批复',郑州市物价局,2009-02-16,现行有效,地方政府规章及文件
'关于印发《河南省商务厅维护产业安全工作绩效考核办法》的通知',河南省商务厅,2009-02-09,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于加快发展数字广播电视产业的实施意见',新乡市人民政府办公室,2009-02-04,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于进一步做好太阳能光伏产业招商引资工作的通知',洛阳市人民政府办公室,2009-02-02,现行有效,地方政府规章及文件
'洛阳市人民政府办公室批转《洛阳市发展和改革委员会关于鼓励企业从第二产业中分离第三产业工作方案》的通知',洛阳市人民政府办公室,2009-01-15,现行有效,地方政府规章及文件
'驻马店市人民政府批转市房管局等10部门《关于促进全市房地产业平稳发展若干意见》的通知',驻马店市人民政府,2009-01-13,现行有效,地方政府规章及文件
'关于贯彻执行《郑州市人民政府关于促进房地产业持续稳定健康发展的若干意见》的通知',郑州市建设委员会,2009,已失效,地方政府规章及文件
'濮阳市人民政府办公室关于印发河南省承接纺织服装玩具产业转移洽谈会濮阳代表团参会工作方案的通知',濮阳市人民政府办公室,2009,已失效,地方政府规章及文件
'新乡市人民政府关于明确新乡市产业集聚区主导产业的通知',新乡市人民政府,2009,现行有效,地方政府规章及文件
'灵宝市2009年SOD苹果产业发展意见',灵宝市人民政府办公室,2009,现行有效,地方政府规章及文件
'商水县人民政府关于加快科技创新促进产业发展的意见',周口市商水县人民政府,2009,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于转发河南省建设厅等7部门《关于促进全省房地产业平稳健康发展的若干意见》的通知',郑州市人民政府办公厅,2008-12-22,现行有效,地方政府规章及文件
'西峡县人民政府办公室关于转发《南阳市人民政府关于促进南阳市房地产业持续稳定健康发展若干意见》的通知',南阳市西峡县人民政府办公室,2008-12-17,现行有效,地方政府规章及文件
'商丘市人民政府批转市房管局《关于促进全市房地产业平稳健康发展若干意见》的通知',商丘市人民政府,2008-12-09,现行有效,地方政府规章及文件
'郑州市人民政府关于扶持动漫产业发展的若干意见',郑州市人民政府,2008-12-08,现行有效,地方政府规章及文件
'郑州市惠济区人民政府关于印发中国郑州信息创意产业园发展优惠扶持办法试行的通知',郑州市惠济区人民政府,2008-12-02,现行有效,地方政府规章及文件
'信阳市人民政府办公室转发信阳市房管局等10部门《关于进一步促进全市房地产业平稳健康发展若干意见》的通知',信阳市人民政府办公室,2008-11-27,现行有效,地方政府规章及文件
'关于印发《河南省高新技术特色产业基地认定条件暂行办法》的通知',河南省科学技术厅,2008-11-19,现行有效,地方政府规章及文件
'舞阳县人民政府关于加快食用菌产业发展的意见',漯河市舞阳县人民政府,2008-11-14,现行有效,地方政府规章及文件
'许昌市人民政府批转市建委等部门《关于促进全市房地产业平稳健康发展的若干意见》的通知',许昌市人民政府,2008-11-07,现行有效,地方政府规章及文件
'潢川县人民政府办公室关于进一步落实扶持茶产业发展优惠政策的通知',信阳市潢川县人民政府办公室,2008-11-07,现行有效,地方政府规章及文件
'新乡市人民政府关于促进我市房地产业持续健康发展的若干意见',新乡市人民政府,2008-11-03,现行有效,地方政府规章及文件
'郑州市人民政府关于促进房地产业持续稳定健康发展的若干意见',郑州市人民政府,2008-10-24,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于促进房地产业快速发展的意见',鹤壁市人民政府办公室,2008-10-20,已失效,地方政府规章及文件
'洛阳市住房公积金管理中心、中国建设银行洛阳分行印发《关于发挥整合优势促进洛阳市房地产业发展的实施意见》的通知',洛阳市住房公积金管理中心;中国建设银行洛阳分行,2008-10-16,现行有效,地方政府规章及文件
'商丘市人民政府关于加快旅游产业发展的意见',商丘市人民政府,2008-10-07,现行有效,地方政府规章及文件
'南阳市人民政府关于大力发展肉牛产业的意见',南阳市人民政府,2008-08-30,现行有效,地方政府规章及文件
'南阳市人民政府关于加快生猪产业发展的意见',南阳市人民政府,2008-08-30,现行有效,地方政府规章及文件
'南阳市人民政府关于印发南阳市2008—2010年肉牛产业发展规划的通知',南阳市人民政府,2008-08-30,现行有效,地方政府规章及文件
'南阳市人民政府关于印发南阳市2008—2010年生猪产业发展规划的通知',南阳市人民政府,2008-08-30,现行有效,地方政府规章及文件
'郑州市物价局关于河南建业教育产业公司所属中小学有关收费问题的批复',郑州市物价局,2008-08-26,现行有效,地方政府规章及文件
'洛阳市人民政府关于鼓励外来投资投向重点产业项目的意见',洛阳市人民政府,2008-07-15,现行有效,地方政府规章及文件
'区政府关于加快汽车配件产业发展实施意见',郑州市上街区人民政府,2008-07-10,现行有效,地方政府规章及文件
'许昌市人民政府办公室转发市发改委等部门《关于巩固关闭粘土砖瓦窑成果全面禁止使用实心粘土砖促进我市新型墙体材料产业健康发展意见》的通知',许昌市人民政府办公室,2008-06-20,现行有效,地方政府规章及文件
'漯河市人民政府关于蔬菜产业发展的意见',漯河市人民政府,2008-06-10,现行有效,地方政府规章及文件
'关于转发《国家高新技术产业开发区评价指标体系》的通知',河南省科学技术厅,2008-05-14,现行有效,地方政府规章及文件
'襄城县人民政府关于加快蔬菜产业发展的意见',许昌市襄城县人民政府,2008-05-08,现行有效,地方政府规章及文件
'商城县人民政府关于促进花卉苗木产业发展的意见',信阳市商城县人民政府,2008-04-14,现行有效,地方政府规章及文件
'郑州市人民政府关于加快发展水产业的意见',郑州市人民政府,2008-04-05,现行有效,地方政府规章及文件
'平顶山市人民政府关于进一步加快旅游产业发展的意见',平顶山市人民政府,2008-03-29,现行有效,地方政府规章及文件
'许昌市人民政府关于加快蔬菜产业发展的意见',许昌市人民政府,2008-03-19,现行有效,地方政府规章及文件
'关于印发《河南省高技术产业发展项目管理暂行办法》的通知',河南省发展和改革委员会,2008-03-18,现行有效,地方政府规章及文件
'济源市人民政府关于进一步加快五二一工业产业发展的意见',济源市人民政府,2008-02-27,现行有效,地方政府规章及文件
'洛阳市人民政府关于促进硅及光电信息产业发展的意见',洛阳市人民政府,2008-02-14,现行有效,地方政府规章及文件
'信阳市人民政府关于促进花卉苗木产业发展的意见',信阳市人民政府,2008-02-05,现行有效,地方政府规章及文件
'关于转发国家《“十一五”重大技术装备研制和重大产业技术开发专项规划》的通知',河南省发展和改革委员会,2008-02-03,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发推进2008年产业聚集区建设工作实施意见的通知',新乡市人民政府办公室,2008-01-29,已失效,地方政府规章及文件
'郑州市人民政府关于加快推进城区科技自主创新和高新技术产业发展的意见',郑州市人民政府,2007-12-27,现行有效,地方政府规章及文件
'郑州市人民政府关于加快推进城区服务外包产业发展的意见',郑州市人民政府,2007-12-27,现行有效,地方政府规章及文件
'关于转发《国家发展改革委、国防科工委印发关于促进卫星应用产业发展的若干意见的通知》的通知',河南省发展和改革委员会,2007-12-13,现行有效,地方政府规章及文件
'转发市信息产业局《关于租用公用设施设置移动通信基站管理意见》的通知',鹤山市人民政府办公室,2007-11-22,现行有效,地方政府规章及文件
'鹤壁市人民政府关于印发鹤壁市水泥产业发展五年规划的通知',鹤壁市人民政府,2007-11-05,现行有效,地方政府规章及文件
'关于转发《国家发展改革委办公厅关于请组织实施循环经济高技术产业重大专项的通知》的通知',河南省发展和改革委员会,2007-10-14,现行有效,地方政府规章及文件
'许昌市人民政府关于印发许昌—长葛集群经济产业带发展规划的通知',许昌市人民政府,2007-09-29,现行有效,地方政府规章及文件
'许昌市人民政府关于大力培育20个重点工业产业集群的意见',许昌市人民政府,2007-09-28,现行有效,地方政府规章及文件
'河南省中小企业服务局关于加快发展工艺美术产业集群的指导意见',河南省中小企业服务局,2007-08-24,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市产业聚集区建设工作考核办法的通知',新乡市人民政府办公室,2007-08-21,现行有效,地方政府规章及文件
'信阳市人民政府办公室关于推动信阳市银行卡产业发展的意见',信阳市人民政府办公室,2007-08-21,现行有效,地方政府规章及文件
'焦作市人民政府关于加快建筑业和房地产业发展规范税收征管的意见',焦作市人民政府,2007-08-03,现行有效,地方政府规章及文件
'济源市人民政府关于进一步加快高新技术产业发展的实施意见',济源市人民政府,2007-08-02,现行有效,地方政府规章及文件
'周口市人民政府关于承接经济发达地区产业转移的意见',周口市人民政府,2007-07-16,现行有效,地方政府规章及文件
'新乡市人民政府关于加快高新技术产业发展的意见',新乡市人民政府,2007-07-02,现行有效,地方政府规章及文件
'新乡市人民政府关于加快推进产业集群发展的意见',新乡市人民政府,2007-07-02,现行有效,地方政府规章及文件
'漯河市人民政府办公室关于加强第二、三产业增加值核算工作完善部门统计机制的通知',漯河市人民政府办公室,2007-06-15,现行有效,地方政府规章及文件
'漯河市郾城区人民政府关于印发漯河市郾城区2007年特色农业产业扶持奖励办法的通知',漯河市郾城区人民政府,2007-05-22,现行有效,地方政府规章及文件
'漯河市人民政府办公室转发市地税局关于开展税源清查及对建筑安装业房地产业三产服务业有应税收入的行政事业单位税收专项整治的意见的通知',漯河市人民政府办公室,2007-05-16,现行有效,地方政府规章及文件
'郑州市惠济区人民政府关于进一步加快水产业发展的意见',郑州市惠济区人民政府,2007-04-27,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于加强第三产业统计的通知',鹤壁市人民政府办公室,2007-04-03,现行有效,地方政府规章及文件
'安阳市人民政府关于调整和完善安阳高新技术产业开发区特区财政管理体制的通知',安阳市人民政府,2007-03-15,现行有效,地方政府规章及文件
'漯河市人民政府关于高新技术产业开发区规范公务员津贴补贴实施方案的批复',漯河市人民政府,2007-02-09,现行有效,地方政府规章及文件
'河南省建设厅关于印发《河南省住宅与房地产业2007年工作要点》的通知',河南省建设厅,2007-01-30,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于新乡市退耕还林工程后续产业发展的意见',新乡市人民政府办公室,2007-01-19,现行有效,地方政府规章及文件
'鹤壁市人民政府关于印发鹤壁市“十一五”旅游产业发展规划的通知',鹤壁市人民政府,2006-12-27,现行有效,地方政府规章及文件
'关于印发《河南省“十一五”高新技术产业发展规划》和《河南省国民经济和社会信息化“十一五”规划》的通知',河南省发展和改革委员会,2006-12-12,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于推动商丘市银行卡产业发展的意见',商丘市人民政府办公室,2006-12-03,现行有效,地方政府规章及文件
'鹤壁市人民政府关于建设中国(鹤壁)绿色包装产业基地的实施意见',鹤壁市人民政府,2006-11-23,现行有效,地方政府规章及文件
'许昌市人民政府关于加快发展高新技术产业扶持20户重点高新技术企业的若干意见',许昌市人民政府,2006-11-19,现行有效,地方政府规章及文件
'鹤壁市人民政府关于加快第三产业发展的意见',鹤壁市人民政府,2006-11-10,现行有效,地方政府规章及文件
'安阳市人民政府关于印发安阳市“十一五”装备制造业发展规划等五个产业发展规划的通知',安阳市人民政府,2006-11-07,现行有效,地方政府规章及文件
'河南省人民政府关于促进产业结构调整的实施意见',河南省人民政府,2006-10-23,已失效,地方政府规章及文件
'安阳市人民政府批转市信息产业办公室《关于信息产业推进我市社会主义新农村建设意见》的通知',安阳市人民政府,2006-10-13,现行有效,地方政府规章及文件
'河南省人民政府批转省信息产业厅中小企业服务局关于大力支持中小企业信息化服务平台建设意见的通知',河南省人民政府,2006-09-18,已失效,地方政府规章及文件
'转发市统计局、信息产业局《关于实施鹤山市统计镇级网上直报的意见》的通知',鹤山市人民政府办公室,2006-09-11,现行有效,地方政府规章及文件
'信阳市人民政府关于印发信阳市“十一五”茶产业发展规划纲要的通知',信阳市人民政府,2006-09-05,现行有效,地方政府规章及文件
'许昌市人民政府关于印发许昌市电子信息产业十一五发展规划的通知',许昌市人民政府,2006-09-02,现行有效,地方政府规章及文件
'河南省人民政府关于印发河南省“十一五”旅游产业发展规划纲要的通知',河南省人民政府,2006-08-31,现行有效,地方政府规章及文件
'洛阳市人民政府关于加快轴承产业发展的意见',洛阳市人民政府,2006-08-18,现行有效,地方政府规章及文件
'安阳市人民政府关于加快我市第三产业发展的意见',安阳市人民政府,2006-08-07,现行有效,地方政府规章及文件
'郑州市人民政府关于加强郑汴快速路两侧产业带建设用地管理有关问题的通知',郑州市人民政府,2006-07-22,现行有效,地方政府规章及文件
'河南省人民政府批转省信息产业厅、信管理局关于信息产业服务社会主义新农村建设意见的通知',河南省人民政府,2006-07-19,已失效,地方政府规章及文件
'新乡市人民政府关于促进人口产业和生产要素聚集的指导意见',新乡市人民政府,2006-07-15,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市工业企业做大做强和产业园区建设专项资金管理办法的通知',郑州市人民政府,2006-07-13,现行有效,地方政府规章及文件
'河南省人民政府关于印发河南省“十一五”煤化工产业发展规划等七个产业发展规划的通知',河南省人民政府,2006-07-13,现行有效,地方政府规章及文件
'郑州市人民政府关于支持工业企业做大做强和产业园区建设的意见',郑州市人民政府,2006-06-16,现行有效,地方政府规章及文件
'河南省人民政府批转省发展改革委关于完善重点工业项目建设责任制促进优势产业健康快速发展意见的通知',河南省人民政府,2006-06-16,已失效,地方政府规章及文件
'郑州市人民政府办公厅关于推动郑州市银行卡产业发展的意见',郑州市人民政府办公厅,2006-05-25,现行有效,地方政府规章及文件
'洛阳市人民政府关于进一步加快苗木花卉产业发展的意见',洛阳市人民政府,2006-05-10,现行有效,地方政府规章及文件
'新乡市人民政府关于加快推进国家（新乡）化学与物理电源产业园建设的意见',新乡市人民政府,2006-03-10,现行有效,地方政府规章及文件
'郑州高新技术产业开发区管委会关于印发《郑州高新技术产业开发区建设项目工程施工图设计审查备案暂行办法》的通知',郑州高新技术产业开发区管理委员会,2006-02-24,现行有效,地方政府规章及文件
'伊川县人民政府关于印发伊川县文化产业统计调查工作方案的通知',洛阳市伊川县人民政府,2006-02-23,现行有效,地方政府规章及文件
'河南省建设厅关于印发《河南省住宅与房地产业2006年工作要点》的通知',河南省建设厅,2006-01-09,现行有效,地方政府规章及文件
