车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
大众POLO 2014款 1.4L 手动风尚版,5.3,8.24,2015,5.67,1.4L,1,6
大众 速腾 2018款 1.6L 自动舒适型,10.65,16.04,2019,3.29,1.6L,0,2
奔驰E级 2015款 E 260 L 运动时尚型,26.7,54.06,2015,4.65,2.0T,0,6
哈弗H2s 2018款 红标 1.5T 双离合豪华型,6.66,11.18,2017,5.54,1.5T,0,4
大众 途观 2013款 2.0TSI 自动四驱旗舰版,10.38,34.28,2013,12.15,2.0T,0,8
奔驰CLA级 2018款 CLA 200 动感型(进口),21.5,27.87,2018,3.0,1.6T,0,3
大众 速腾 2018款 1.6L 自动舒适型,10.2,16.04,2019,5.08,1.6L,0,2
领克03 2018款 1.5TD DCT劲Pro版 国V,11.8,16.15,2018,3.7,1.5T,0,3
雪佛兰 科沃兹 2019款 320 手动欣享版,5.3,8.67,2019,3.43,1.5L,1,2
马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V,9.8,13.45,2018,2.2,1.5L,0,3
丰田 皇冠 2018款 2.0T 时尚版,25.0,30.37,2018,5.0,2.0T,0,3
大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,10.28,16.81,2017,2.53,1.4T,0,4
本田 思域 2016款 220TURBO CVT豪华版,11.98,15.19,2018,2.2,1.5T,0,3
马自达 阿特兹 2020款 2.0L 蓝天豪华版,16.58,20.6,2021,0.09,2.0L,0,0
大众 迈腾 2018款 330TSI DSG 领先型,16.55,23.87,2018,3.7,1.8T,0,3
大众 朗逸 2017款 230TSI DSG舒适版,9.6,15.95,2018,6.62,1.4T,0,3
大众 速腾 2018款 280TSI DSG熠动版,10.98,17.78,2018,12.4,1.4T,0,3
大众POLO 2016款 1.6L 自动舒适型,6.93,11.28,2017,3.94,1.6L,0,4
现代 瑞纳 2010款 三厢 1.4L 手动舒适型GS,3.2,8.56,2013,8.7,1.4L,1,8
本田 雅阁 2018款 260TURBO 精英版 国V,16.88,20.6,2019,2.57,1.5T,0,2
吉利 远景 2015款 1.5L 手动幸福型,3.2,6.39,2015,4.0,1.5L,1,6
哈弗H6 2015款 运动版 1.5T 手动两驱精英型,5.18,13.44,2015,1.68,1.5T,1,6
丰田 锐志 2012款 2.5V 风度菁英炫装版,12.98,25.81,2012,13.2,2.5L,0,9
丰田 卡罗拉 2018款 1.2T S-CVT GL-i智辉版,10.5,14.63,2019,3.49,1.2T,0,2
起亚K3 2015款 1.6L 手动GLS,5.2,12.46,2016,11.68,1.6L,1,5
本田XR-V 2017款 1.5L LXi CVT经典版,11.65,14.96,2017,6.52,1.5L,0,4
大众 捷达 2013款 1.6L 自动时尚型,5.4,10.67,2015,7.23,1.6L,0,6
起亚 福瑞迪 2012款 1.6L AT Premium 纪念版,4.88,13.33,2013,7.9,1.6L,0,8
大众CC 2018款 1.8TSI 豪华型,16.99,29.18,2017,6.29,1.8T,0,4
丰田 汉兰达 2018款 2.0T 两驱豪华版 7座 国VI,27.95,31.46,2019,4.94,2.0T,0,2
丰田 卡罗拉 2014款 1.6L CVT GL-i,7.2,13.87,2014,3.6,1.6L,0,7
马自达3 2010款 1.6L 自动经典时尚型,4.68,13.33,2012,4.9,1.6L,0,9
大众CC 2015款 1.8TSI 豪华型,13.98,29.18,2015,8.0,1.8T,0,6
现代 飞思 2011款 1.6L 自动旗舰版(进口),6.8,22.34,2012,10.09,1.6L,0,9
现代 朗动 2013款 1.6L 自动尊贵型,6.8,14.63,2014,8.0,1.6L,0,7
现代ix25 2020款 1.5L CVT尊贵型,10.3,14.09,2020,2.0,1.5L,0,1
雪佛兰 科鲁兹 2018款 320 自动先锋天窗版,7.98,13.56,2018,4.26,1.5L,0,3
大众 迈腾 2019款 330TSI DSG 领先型 国V,17.88,23.35,2019,2.35,2.0T,0,2
大众CC 2019款 380TSI 曜颜版 国V,25.8,32.76,2019,3.0,2.0T,0,2
日产 逍客 2011款 2.0XL 火 CVT 2WD,5.4,17.89,2011,8.57,2.0L,0,10
现代 瑞纳 2014款 1.4L 自动时尚型GS,4.5,8.89,2015,4.3,1.4L,0,6
奥迪Q3 2013款 35 TFSI 舒适型,13.4,34.3,2014,7.6,2.0T,0,7
大众 途观 2015款 1.8TSI 自动两驱豪华型,11.29,28.2,2015,8.52,1.8T,0,6
奔驰GLK级 2014款 GLK 200 标准型,19.89,41.03,2015,9.51,2.0T,0,6
福特 福克斯 2018款 两厢经典 1.6L 自动风尚型智行版,8.58,13.33,2019,4.03,1.6L,0,2
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.75,10.38,2016,3.57,1.6L,0,5
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.98,10.38,2016,9.88,1.6L,0,5
本田 雅阁 2008款 2.0L EX,5.38,21.69,2009,11.5,2.0L,0,12
大众 捷达 2019款 梦想版 1.4L 手动时尚型,5.68,8.66,2019,2.83,1.4L,1,2
宝马3系 2019款 320Li 时尚型,25.58,34.39,2019,4.05,2.0T,0,2
奥迪A3 2020款 Limousine 35 TFSI 时尚型,18.99,23.85,2021,0.02,1.4T,0,0
大众 迈腾 2015款 1.8TSI 领先型,12.5,23.86,2015,6.2,1.8T,0,6
雪佛兰 科帕奇 2014款 2.4L 四驱旗舰版 7座,8.58,22.78,2015,6.74,2.4L,0,6
现代 全新胜达 2013款 2.4L 自动两驱智能型,9.2,27.12,2014,7.0,2.4L,0,7
日产 骐达 2008款 1.6L 自动时尚型,3.68,12.68,2010,11.37,1.6L,0,11
大众 速腾 2012款 1.6L 自动舒适型,6.28,16.37,2013,14.0,1.6L,0,8
大众CC 2020款 330TSI 魅颜版 国VI,22.8,28.53,2020,2.1,2.0T,0,1
吉利 博越 2021款 百万款 1.8TD DCT两驱舒适型,10.98,11.92,2021,0.31,1.8T,0,0
大众 速腾 2017款 1.6L 自动舒适型,9.0,16.37,2017,3.17,1.6L,0,4
宝马X6 2009款 xDrive35i(进口),20.9,106.7,2010,10.07,3.0T,0,11
现代 名图 2014款 1.8L 自动智能型GLS,7.68,16.26,2015,4.51,1.8L,0,6
宝马X3 2018款 xDrive28i M运动套装,37.8,47.74,2019,2.52,2.0T,0,2
大众 速腾 2014款 改款 1.4TSI 自动豪华型,7.69,18.21,2015,11.9,1.4T,0,6
大众 速腾 2018款 280TSI DSG熠动版,11.38,17.78,2019,4.0,1.4T,0,2
现代 悦动 2010款 1.6L MT GL,3.48,10.83,2013,9.11,1.6L,1,8
大众 速腾 2014款 改款 1.6L 自动舒适型,7.0,16.37,2014,14.95,1.6L,0,7
大众 捷达 2012款 1.6L 前卫,4.68,9.64,2012,6.66,1.6L,1,9
哈弗H6 2013款 运动版 1.5T 手动两驱精英型,5.23,13.44,2015,7.07,1.5T,1,6
大众 朗逸 2018款 280TSI DSG舒适版 国V,10.48,15.95,2018,2.4,1.4T,0,3
大众CC 2019款 330TSI 魅颜版 国V,21.8,28.53,2019,1.8,2.0T,0,2
马自达 阿特兹 2014款 2.5L 蓝天至尊版,13.3,26.03,2015,4.0,2.5L,0,6
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,10.98,20.6,2016,6.0,1.5T,0,5
宝马5系 2013款 525Li 领先型,19.98,49.89,2013,11.35,2.0T,0,8
丰田 威驰 2014款 1.5L 自动智臻版,5.68,9.53,2016,7.9,1.5L,0,5
本田CR-V 2017款 240TURBO CVT两驱都市版,16.0,20.93,2017,4.3,1.5T,0,4
现代 名图 2017款 1.8L 自动智能型GLS 国V,10.68,16.26,2019,2.86,1.8L,0,2
吉利 帝豪GL 2018款 1.4T 手动精英智联型,5.98,9.75,2018,1.37,1.4T,1,3
大众 高尔夫 2016款 230TSI 自动舒适型,9.28,16.81,2016,8.9,1.4T,0,5
大众 迈腾 2017款 330TSI DSG 领先型,15.88,23.87,2017,5.6,1.8T,0,4
马自达 阿特兹 2015款 2.0L 蓝天豪华版,10.98,20.49,2015,6.48,2.0L,0,6
大众 朗逸 2017款 1.6L 自动风尚版,8.0,12.91,2019,3.28,1.6L,0,2
奔驰GLA级 2015款 GLA 220 4MATIC 时尚型,16.2,34.71,2015,5.41,2.0T,0,6
本田 思域 2019款 220TURBO CVT劲擎版 国VI,13.88,16.92,2020,2.92,1.5T,0,1
大众 途观 2017款 300TSI 自动两驱丝绸之路舒适版,15.5,25.16,2018,4.08,1.8T,0,3
雪佛兰 探界者 2019款 535T 自动驰界版 国V,12.2,20.61,2019,3.04,1.5T,0,2
大众 迈腾 2018款 330TSI DSG 尊贵型,17.9,28.1,2018,2.12,1.8T,0,3
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,8.9,15.19,2017,3.86,1.5L,0,4
丰田 威驰FS 2017款 1.5L CVT锋驰版,6.98,9.31,2018,3.59,1.5L,0,3
大众 途观 2012款 1.8TSI 自动两驱菁英版,8.28,27.66,2012,12.0,1.8T,0,9
现代 全新胜达 2013款 2.0T 自动四驱顶级型,9.31,33.63,2013,10.11,2.0T,0,8
大众 宝来 2014款 1.6L 自动舒适型,6.5,13.93,2015,8.96,1.6L,0,6
现代 名图 2017款 1.8L 自动智能型GLS 国V,9.0,16.26,2017,4.8,1.8L,0,4
日产 骐达 2016款 1.6L CVT智行版,8.8,13.34,2018,4.75,1.6L,0,3
奥迪A6L 2019款 45 TFSI 臻选动感型,36.8,47.09,2019,2.3,2.0T,0,2
大众 速腾 2019款 280TSI DSG舒适型 国VI,13.3,17.57,2020,1.7,1.4T,0,1
大众 高尔夫 2011款 1.4TSI 自动舒适型,6.9,16.26,2012,8.1,1.4T,0,9
哈弗H6 2017款 红标 1.5T 自动两驱智尚型,8.95,14.44,2018,4.19,1.5T,0,3
雪佛兰 创酷 2016款 1.4T 自动两驱舒适天窗版,6.48,13.23,2016,3.56,1.4T,0,5
本田 思域 2012款 1.8L 自动舒适版,7.6,15.17,2013,13.0,1.8L,0,8
大众 捷达 2017款 1.5L 手动时尚型,5.28,9.29,2017,8.7,1.5L,1,4
MINI Countryman 2014款 1.6T COOPER ALL4 Fun,15.6,32.13,2015,3.85,1.6T,0,6
宝马X6 2012款 xDrive35i(进口),32.8,115.39,2015,10.4,3.0T,0,6
大众 迈腾 2019款 330TSI DSG 领先型 国V,16.75,23.35,2018,3.48,2.0T,0,3
大众 2019款 宝来·传奇 1.5L 自动时尚型 国VI,8.58,11.81,2020,1.4,1.5L,0,1
大众 捷达 2012款 1.6L 前卫,4.68,9.64,2012,6.66,1.6L,1,9
起亚KX3 2017款 1.6L 自动傲雅版,7.98,15.28,2017,9.68,1.6L,0,4
吉利 远景 2013款 1.5L 手动舒适型,1.8,5.74,2014,4.75,1.5L,1,7
现代 途胜 2015款 1.6T 双离合两驱智能型,9.38,19.53,2015,7.2,1.6T,0,6
大众 宝来 2019款 1.5L 自动时尚型,9.18,13.24,2019,4.04,1.5L,0,2
大众 途观 2012款 1.8TSI 自动四驱风尚版,7.6,27.22,2013,13.1,1.8T,0,8
马自达CX-4 2018款 2.0L 自动两驱蓝天活力版 国VI,12.88,16.59,2019,0.9,2.0L,0,2
大众CC 2019款 330TSI 魅颜版 国V,21.8,28.53,2019,1.8,2.0T,0,2
现代 瑞纳 2017款 1.4L 手动焕彩天窗版 国V,4.6,6.28,2018,3.5,1.4L,1,3
大众POLO 2018款 1.5L 自动安享型,7.8,11.06,2019,2.34,1.5L,0,2
大众 迈腾 2011款 2.0TSI DSG舒适型,5.67,27.33,2010,13.3,2.0T,0,11
奔驰E级 2016款 E 200 轿跑车 灵动版(进口),29.97,57.53,2017,2.18,2.0T,0,4
吉利 帝豪GS 2016款 运动版 1.8L 手动领尚型,4.98,9.53,2017,3.43,1.8L,1,4
大众 途昂 2020款 380TSI 四驱豪华版 国VI,28.9,39.07,2019,3.88,2.0T,0,2
奥迪A3 2019款 Sportback 35 TFSI 进取型 国V,14.38,20.47,2019,2.89,1.4T,0,2
马自达3 2010款 1.6L 自动经典精英型,3.5,13.98,2011,9.53,1.6L,0,10
奥迪A3 2020款 改款 Limousine 35 TFSI 进取型 国VI,16.28,21.62,2020,0.7,1.4T,0,1
丰田 汉兰达 2012款 2.7L 两驱5座精英版,13.2,27.01,2012,15.03,2.7L,0,9
宝马5系 2014款 520Li 典雅型,22.0,47.28,2014,13.24,2.0T,0,7
大众 帕萨特 2017款 280TSI DSG尊荣版,14.5,23.0,2019,5.78,1.4T,0,2
马自达6 2012款 2.0L 自动时尚型,4.9,19.52,2012,9.51,2.0L,0,9
大众CC 2016款 2.0TSI 豪华型,16.8,30.81,2017,4.1,2.0T,0,4
吉利 帝豪GS 2016款 运动版 1.3T 自动领尚型,6.45,10.83,2017,5.34,1.3T,0,4
日产 奇骏 2017款 2.0L CVT舒适版 2WD,16.68,21.36,2018,2.0,2.0L,0,3
大众 宝来 2008款 1.6L 自动舒适型,3.98,14.2,2010,10.29,1.6L,0,11
别克GL8 2011款 3.0L XT豪华商务旗舰版,11.58,42.12,2011,13.0,3.0L,0,10
丰田 卡罗拉 2017款 改款双擎 1.8L E-CVT先锋版,9.8,14.96,2017,9.16,1.8L,0,4
大众POLO 2016款 1.6L 自动舒适型,7.2,11.28,2017,3.02,1.6L,0,4
吉利 缤越 2019款 260T DCT游侠 国V,9.88,11.81,2019,4.1,1.5T,0,2
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,10.38,15.19,2019,5.0,1.5L,0,2
大众 捷达 2019款 梦想版 1.4L 手动时尚型,5.48,8.66,2019,2.0,1.4L,1,2
起亚 狮跑 2013款 2.0L 自动两驱版GLS,6.98,14.52,2015,9.54,2.0L,0,6
奥迪A3 2019款 Sportback 35 TFSI 进取型 国VI,14.88,20.47,2020,3.56,1.4T,0,1
大众 速腾 2017款 230TSI 自动舒适型,10.48,17.45,2017,6.8,1.4T,0,4
日产 天籁 2011款 2.0L XL舒适版,7.98,21.69,2012,11.04,2.0L,0,9
大众 迈腾 2015款 2.0TSI 尊贵型,11.98,29.07,2015,8.82,2.0T,0,6
大众 捷达 2015款 质惠版 1.6L 自动时尚型,6.3,10.38,2017,1.6,1.6L,0,4
大众 迈腾 2015款 改款 1.8TSI 豪华型,11.8,25.27,2016,10.42,1.8T,0,5
哈弗H6 2012款 1.5T 手动两驱精英型,2.98,12.14,2013,12.1,1.5T,1,8
起亚K3 2016款 1.6L 自动天窗版,8.0,11.92,2018,3.81,1.6L,0,3
奔驰CLA级 2018款 CLA 200 动感型(进口),20.88,27.87,2018,2.78,1.6T,0,3
哈弗H6 2019款 运动版 1.5T 自动两驱精英型 国VI,9.1,12.37,2019,0.6,1.5T,0,2
大众 捷达 2017款 1.4L 手动舒适型,5.3,9.98,2017,9.7,1.4L,1,4
哈弗H6 2013款 运动版 1.5T 手动两驱精英型,5.68,13.44,2015,6.0,1.5T,1,6
吉利 帝豪GS 2018款 运动版 1.4T 自动领尚型,7.18,10.94,2018,3.17,1.4T,0,3
大众 途观 2012款 1.8TSI 自动四驱风尚版,7.6,27.22,2013,13.1,1.8T,0,8
起亚K5 2012款 2.0L 自动DLX,7.28,20.49,2013,9.4,2.0L,0,8
丰田 卡罗拉 2017款 改款双擎 1.8L E-CVT精英版,10.98,15.93,2018,3.09,1.8L,0,3
马自达6 2008款 2.0L 自动时尚型,3.98,19.52,2010,16.6,2.0L,0,11
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,5.28,13.98,2014,8.01,1.5T,1,7
大众 迈腾 2020款 330TSI DSG 豪华型,18.76,25.39,2020,4.84,2.0T,0,1
大众 速腾 2014款 1.4TSI 手动豪华型,6.88,16.69,2014,8.0,1.4T,1,7
大众 宝来 2019款 改款 1.5L 自动舒适型 国VI,9.38,14.65,2019,3.2,1.5L,0,2
本田 思域 2016款 220TURBO CVT尊贵版,11.2,16.92,2016,6.26,1.5T,0,5
雪佛兰 科鲁兹 2015款 1.5L 经典 SL MT,3.3,9.76,2014,9.98,1.5L,1,7
大众 朗逸 2011款 1.6L 自动品雅版,4.5,14.63,2011,8.71,1.6L,0,10
奔驰A级AMG 2014款 AMG A 45 4MATIC,26.3,54.06,2015,6.61,2.0T,0,6
大众CC 2015款 1.8TSI 豪华型,13.98,29.18,2015,8.0,1.8T,0,6
大众 迈腾 2019款 330TSI DSG 豪华型 国V,18.2,24.87,2019,2.75,2.0T,0,2
别克 君威 2012款 2.0L 舒适版,6.35,20.18,2013,9.3,2.0L,0,8
马自达CX-4 2018款 2.0L 自动两驱蓝天品位版,12.38,18.43,2018,3.54,2.0L,0,3
本田CR-V 2015款 2.4L 两驱豪华版,16.9,24.94,2017,6.0,2.4L,0,4
雪佛兰 科鲁兹 2013款 1.6L SL天窗版 MT,3.55,12.25,2013,7.88,1.6L,1,8
别克GL8 2017款 ES 28T 尊享型 国V,25.88,35.81,2017,12.0,2.0T,0,4
大众 尚酷 2009款 1.4TSI 风尚版(进口),7.98,32.35,2010,9.81,1.4T,0,11
现代 途胜 2018款 1.6T 双离合两驱15周年特别版,10.98,19.53,2018,5.0,1.6T,0,3
福特 福睿斯 2017款 幸福版 1.5L 自动时尚型,8.98,13.28,2018,5.19,1.5L,0,3
大众 高尔夫 2012款 1.4TSI 自动豪华型,6.8,18.21,2012,13.18,1.4T,0,9
现代 领动 2016款 1.6L 自动智炫·精英型,8.58,13.0,2016,6.79,1.6L,0,5
雪佛兰 科沃兹 2018款 320 自动欣享天窗版 标准型,5.79,9.87,2018,4.4,1.5L,0,3
别克 英朗 2019款 15T 双离合互联精英型 国VI,7.88,13.99,2019,2.16,1.0T,0,2
丰田 雷凌 2019款 185T CVT运动版 国VI,12.0,14.52,2020,0.64,1.2T,0,1
本田CR-V 2012款 2.0L 两驱都市版,9.98,21.04,2013,13.78,2.0L,0,8
本田 凌派 2016款 1.8L CVT豪华版,8.5,14.63,2017,6.42,1.8L,0,4
吉利 帝豪GL 2018款 1.4T 自动精英智联型,6.98,10.83,2018,2.63,1.4T,0,3
马自达 阿特兹 2020款 2.5L 蓝天至尊版,18.98,26.03,2019,0.81,2.5L,0,2
大众 迈腾 2018款 改款 330TSI DSG 豪华型,16.88,25.5,2018,8.93,1.8T,0,3
大众 途昂 2020款 330TSI 两驱豪华版 国VI,29.31,35.81,2019,2.39,2.0T,0,2
大众 迈腾 2013款 1.8TSI 豪华型,9.58,25.27,2013,9.5,1.8T,0,8
起亚K5 2015款 2.0L 自动GL,8.2,18.21,2015,6.73,2.0L,0,6
别克 君越 2016款 20T 精英型,13.0,26.03,2018,3.7,1.5T,0,3
马自达 阿特兹 2015款 2.5L 蓝天运动版,11.88,21.69,2016,5.54,2.5L,0,5
马自达 昂克赛拉 2016款 三厢 1.5L 手动豪华型,7.88,13.88,2016,8.0,1.5L,1,5
大众 捷达 2013款 1.6L 自动时尚型,6.0,10.67,2014,10.51,1.6L,0,7
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,6.98,23.64,2013,6.87,1.6T,0,8
大众CC 2016款 1.8TSI 尊贵型,14.78,27.44,2016,12.69,1.8T,0,5
别克 君越 2011款 2.4L SIDI雅致版,5.8,25.5,2011,10.8,2.4L,0,10
福特 福克斯 2013款 两厢经典 1.8L 自动时尚型,4.88,13.44,2014,9.01,1.8L,0,7
大众POLO 2016款 1.4L 手动风尚型,5.8,8.24,2016,4.67,1.4L,1,5
现代 领动 2019款 1.5L CVT智炫·豪华型,8.99,14.52,2019,6.14,1.5L,0,2
本田XR-V 2017款 1.8L EXi CVT舒适版,13.1,16.26,2018,4.09,1.8L,0,3
大众 迈腾 2017款 280TSI DSG 舒适型,13.1,20.61,2017,4.11,1.4T,0,4
宝马5系 2018款 530Li 尊享型 M运动套装,39.3,56.98,2017,7.0,2.0T,0,4
大众 高尔夫 2016款 2.0TSI GTI,17.8,26.04,2017,3.88,2.0T,0,4
大众 速腾 2018款 280TSI DSG熠动版,10.98,17.78,2018,12.4,1.4T,0,3
吉利 经典帝豪 2013款 三厢 1.8L 手动尊贵型,2.6,10.18,2013,7.62,1.8L,1,8
别克 凯越 2008款 1.6LE-MT,2.9,11.71,2010,8.38,1.6L,1,11
本田 奥德赛 2017款 2.4L 智享版,21.28,28.96,2017,8.09,2.4L,0,4
大众 宝来 2013款 1.6L 自动时尚型,5.3,13.0,2013,7.58,1.6L,0,8
现代 悦动 2010款 1.6L MT GL,2.58,10.83,2010,7.22,1.6L,1,11
雪佛兰 科鲁兹 2013款 1.6L SE MT,3.78,13.01,2013,12.16,1.6L,1,8
大众 途观 2012款 1.8TSI 自动两驱菁英版,9.28,27.66,2013,9.1,1.8T,0,8
大众 凌渡 2019款 230TSI 手动风尚版 国V,8.98,15.51,2019,5.19,1.4T,1,2
大众 捷达 2010款 1.6L 伙伴,2.99,8.23,2012,9.29,1.6L,1,9
大众 捷达 2017款 1.5L 手动时尚型,5.5,9.29,2018,6.5,1.5L,1,3
奔驰E级 2010款 E 260 CGI Coupe(进口),13.2,67.08,2010,16.09,1.8T,0,11
奔驰E级 2010款 E 200 CGI 优雅型(进口),11.3,52.97,2010,10.8,1.8T,0,11
宝马5系 2012款 520Li 典雅型,16.3,46.52,2012,8.0,2.5L,0,9
大众 高尔夫 2012款 1.4TSI 自动舒适型,6.18,15.72,2012,8.98,1.4T,0,9
日产 骐达 2014款 1.6L CVT智能型,7.38,13.6,2016,4.65,1.6L,0,5
奔驰B级 2017款 B 200 时尚型(进口),15.1,30.61,2017,5.48,1.6T,0,4
哈弗H4 2019款 1.5GDIT Pro版 国VI,9.05,11.82,2020,0.57,1.5T,0,1
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL,9.28,12.79,2018,2.37,1.2T,0,3
日产 骐达 2011款 1.6L CVT舒适型,5.85,12.52,2013,9.0,1.6L,0,8
吉利 远景X1 2017款 1.3L 手动疯活版,2.95,4.98,2017,2.3,1.3L,1,4
本田 锋范经典 2012款 1.5L 自动精英版,5.28,11.92,2013,8.43,1.5L,0,8
福特 蒙迪欧-致胜 2011款 2.0L GTDi200时尚型,4.88,21.69,2012,9.46,2.0T,0,9
马自达6 2008款 2.0L 自动时尚型,3.38,19.52,2009,13.0,2.0L,0,12
大众 宝来 2012款 1.6L 手动时尚型,3.3,11.7,2011,9.0,1.6L,1,10
大众 高尔夫 2011款 1.4TSI 舒适旅行版(进口),7.58,26.03,2012,9.37,1.4T,0,9
吉利 博瑞 2016款 2.4L 舒适型,7.2,14.09,2016,9.39,2.4L,0,5
起亚K3 2016款 1.6L 自动天窗版,7.0,11.92,2017,5.83,1.6L,0,4
大众POLO 2013款 1.6L 自动豪华版,5.5,13.45,2014,7.86,1.6L,0,7
大众CC 2015款 1.8TSI 尊贵型,14.98,27.44,2015,6.43,1.8T,0,6
大众 高尔夫 2016款 1.6L 自动时尚型,9.0,14.53,2017,2.7,1.6L,0,4
雪佛兰 科鲁兹 2013款 1.6L SL MT,3.88,11.82,2014,7.29,1.6L,1,7
马自达 阿特兹 2014款 2.0L 蓝天豪华版,10.28,20.49,2014,10.44,2.0L,0,7
本田 竞瑞 2017款 1.5L CVT经典版,7.68,10.84,2018,2.7,1.5L,0,3
奔驰E级 2015款 E 200 L,23.8,46.57,2014,10.62,2.0T,0,7
马自达3 2012款 1.6L 手动经典特惠型,3.8,10.51,2014,8.38,1.6L,1,7
本田 奥德赛 2013款 2.4L 豪华版,13.58,27.87,2014,12.49,2.4L,0,7
大众 迈腾 2009款 1.8TSI DSG舒适型,4.36,24.62,2010,9.3,1.8T,0,11
奥迪Q3 2013款 35 TFSI 舒适型,14.63,34.3,2015,9.1,2.0T,0,6
别克 昂科威 2016款 20T 两驱精英型,11.8,25.61,2016,7.3,1.5T,0,5
大众 速腾 2018款 280TSI DSG熠动版,10.98,17.78,2018,12.4,1.4T,0,3
大众 迈腾 2018款 改款 330TSI DSG 豪华型,16.88,25.5,2018,4.88,1.8T,0,3
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,7.88,13.56,2018,2.54,1.6L,0,3
奥迪A4L 2019款 40 TFSI 时尚型 国V,25.68,36.45,2019,3.4,2.0T,0,2
别克GL8 2007款 2.5L GT 精英版,3.99,26.38,2009,12.0,2.5L,0,12
奥迪A4L 2019款 40 TFSI 进取型 国V,25.5,32.65,2019,2.1,2.0T,0,2
大众 途观 2012款 2.0TSI 舒适版(进口),10.98,39.73,2013,12.6,2.0T,0,8
大众 高尔夫 2015款 1.4TSI 自动旗舰型,8.98,19.85,2014,7.13,1.4T,0,7
大众 朗逸 2019款 280TSI DSG舒适版 国VI,10.68,15.95,2019,4.8,1.4T,0,2
现代 领动 2016款 1.6L 自动智炫·青春型,7.5,12.14,2018,4.2,1.6L,0,3
大众POLO 2016款 1.4L 手动风尚型,4.9,8.24,2017,4.83,1.4L,1,4
大众 高尔夫·嘉旅 2016款 230TSI 自动进取型,10.68,18.12,2016,5.0,1.4T,0,5
丰田 汉兰达 2011款 2.7L 两驱5座精英版,10.8,27.01,2011,13.0,2.7L,0,10
福特 金牛座 2018款 EcoBoost 245 时尚型 国V,17.8,27.12,2019,1.2,2.0T,0,2
哈弗M6 2019款 1.5T DCT两驱超值版 国VI,7.6,8.47,2020,0.34,1.5T,0,1
别克 昂科威 2019款 20T 两驱领先型 国VI,13.88,20.61,2019,2.31,1.5T,0,2
大众 速腾 2012款 1.6L 自动舒适型,5.98,16.37,2013,9.91,1.6L,0,8
林肯MKZ 2018款 2.0T 尊享版,20.98,30.59,2019,1.03,2.0T,0,2
大众 迈腾 2018款 改款 330TSI DSG 豪华型,16.88,25.5,2018,4.88,1.8T,0,3
现代 途胜 2015款 1.6T 双离合两驱智能型,9.98,19.53,2016,5.1,1.6T,0,5
奔驰C级 2016款 C 200 运动版,22.68,34.17,2017,6.08,2.0T,0,4
现代 瑞纳 2017款 1.4L 手动焕新版 国V,4.3,5.42,2018,3.9,1.4L,1,3
现代 悦动 2018款 1.6L 自动悦目版GL 国VI,6.88,9.22,2019,2.11,1.6L,0,2
大众 迈腾 2019款 330TSI DSG 豪华型 国V,17.98,24.87,2019,4.05,2.0T,0,2
大众 途观 2010款 1.8TSI 自动四驱风尚版,6.88,27.01,2010,13.0,1.8T,0,11
大众 凌渡 2018款 230TSI DSG风尚版,10.58,17.36,2018,2.65,1.4T,0,3
本田CR-V 2017款 240TURBO CVT两驱风尚版,17.5,22.12,2018,5.0,1.5T,0,3
奥迪Q3 2018款 30 TFSI 时尚型典藏版,18.5,28.22,2019,5.61,1.4T,0,2
雪佛兰 科鲁兹 2016款 1.5L 自动豪华版,7.01,14.97,2016,5.52,1.5L,0,5
大众 宝来 2014款 1.6L 自动舒适型,5.36,13.93,2014,16.0,1.6L,0,7
大众 捷达 2013款 1.6L 自动时尚型,6.0,10.67,2014,10.51,1.6L,0,7
马自达5 2011款 2.0L 自动舒适型(进口),7.18,18.97,2012,10.2,2.0L,0,9
日产 骐达 2011款 1.6L CVT智能型,5.88,13.6,2012,4.58,1.6L,0,9
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.75,10.38,2016,3.57,1.6L,0,5
奔驰GLK级 2013款 GLK 300 4MATIC 动感型,15.58,45.37,2013,15.0,30.0L,0,8
福特 全顺 2019款 2.0T柴油多功能商用车短轴低顶6座国VI,12.9,16.37,2020,1.2,2.0T,1,1
大众POLO 2009款 劲情 1.4L 手动舒尚版,2.58,9.86,2010,13.0,1.4L,1,11
丰田 雷凌 2017款 1.2T G CVT精英版,8.6,13.76,2017,2.22,1.2T,0,4
大众 宝来 2019款 1.5L 自动舒适型,9.0,14.65,2019,4.97,1.5L,0,2
吉利 博越 2016款 1.8TD 自动智尊型,7.8,16.15,2016,6.29,1.8T,0,5
大众 速腾 2017款 230TSI 自动豪华型,10.29,18.54,2017,7.2,1.4T,0,4
